127.0.0.1 - - [12/Jan/2026 15:26:15] "GET /sw.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jan/2026 15:27:45] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:27:45] "GET /lib/ffmpeg/ffmpeg.min.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:27:45] "GET /lib/mespeak/mespeak.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:27:45] "GET /lib/lame.min.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:27:45] "GET /script.v12.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:27:45] "GET /lib/mespeak/mespeak-core.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:27:45] "GET /sw.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:27:45] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:27:45] "GET /_headers HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:27:45] "GET /cheatsheet.html HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:27:45] "GET /lib/mespeak/mespeak_config.json HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:27:45] "GET /lib/mespeak/voices/en/en-rp.json HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:27:45] "GET /lib/ffmpeg/ffmpeg-core.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:27:45] "GET /lib/ffmpeg/ffmpeg-core.wasm HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:27:45] "GET /lib/mespeak//voices/en/en-rp.json HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:27:46] "GET /lib/ffmpeg/ffmpeg-core.worker.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:27:47] "GET /sw.js HTTP/1.1" 304 -
127.0.0.1 - - [12/Jan/2026 15:31:08] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:31:08] "GET /lib/ffmpeg/ffmpeg.min.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:31:08] "GET /lib/mespeak/mespeak.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:31:08] "GET /lib/lame.min.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:31:08] "GET /script.v12.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:31:08] "GET /lib/mespeak/mespeak-core.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:31:08] "GET /sw.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:31:08] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:31:08] "GET /_headers HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:31:08] "GET /cheatsheet.html HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:31:08] "GET /lib/mespeak/mespeak_config.json HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:31:08] "GET /lib/mespeak/voices/en/en-rp.json HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:31:08] "GET /lib/ffmpeg/ffmpeg-core.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:31:08] "GET /lib/ffmpeg/ffmpeg-core.wasm HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:31:08] "GET /lib/mespeak//voices/en/en-rp.json HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:31:09] "GET /lib/ffmpeg/ffmpeg-core.worker.js HTTP/1.1" 200 -
127.0.0.1 - - [12/Jan/2026 15:31:10] "GET /sw.js HTTP/1.1" 304 -
